external_key,name,primary_muscle_group,equipment,notes
,Elevação lateral inclinada com halter,Ombros,,
,Elevação frontal com anilha,Ombros,,
,Elevação frontal alternada com halteres,Ombros,,
,Crucifixo inverso inclinado com halteres,Ombros,,
,Crucifixo inverso no peck deck,Ombros,,
,Crucifixo inverso no cabo,Ombros,,
,Face pull com corda,Ombros,,
,Remada alta no cabo com pegada ampla,Ombros,,
,Rotação externa de ombro no cabo junto ao corpo,Ombros,,
,Rotação externa de ombro com elástico,Ombros,,
,Wall slide escapular,Ombros,,
,Elevação Y no banco inclinado,Ombros,,
,Elevação Y no cabo,Ombros,,
,Rosca direta com barra reta,Bíceps,,
,Rosca direta com barra EZ,Bíceps,,
,Rosca alternada com halteres,Bíceps,,
,Rosca simultânea com halteres,Bíceps,,
,Rosca inclinada com halteres,Bíceps,,
,Rosca concentrada,Bíceps,,
,Rosca Scott com barra EZ,Bíceps,,
,Rosca Scott na máquina,Bíceps,,
,Rosca direta no cabo com barra,Bíceps,,
,Rosca martelo com corda no cabo,Bíceps,,
,Rosca martelo com halteres,Bíceps,,
,Rosca martelo cruzada,Bíceps,,
,Rosca Bayesian unilateral no cabo,Bíceps,,
,Rosca spider com halteres,Bíceps,,
,Rosca inversa com barra EZ,Bíceps,,
,Rosca Zottman,Bíceps,,
,Tríceps na polia com corda,Tríceps,,
,Tríceps na polia com barra reta,Tríceps,,
,Tríceps na polia com pegada supinada,Tríceps,,
,Tríceps unilateral no cabo,Tríceps,,
,Tríceps francês no cabo com corda,Tríceps,,
,Tríceps francês unilateral com halter,Tríceps,,
,Tríceps testa com barra EZ,Tríceps,,
,Tríceps testa com halteres,Tríceps,,
,Supino fechado com barra,Tríceps,,
,Mergulho nas paralelas assistido,Tríceps,,
,Mergulho na máquina,Tríceps,,
,Coice de tríceps com halter,Tríceps,,
,Coice de tríceps no cabo,Tríceps,,
,Extensão cruzada de tríceps no cabo,Tríceps,,
,JM press com barra,Tríceps,,
,Flexão diamante,Tríceps,,
,Prancha frontal,Core,,
,Prancha lateral,Core,,
,Dead bug,Core,,
,Bird dog,Core,,
,Hollow body hold,Core,,
,Abdominal supra no solo,Core,,
,Abdominal na máquina,Core,,
,Crunch ajoelhado no cabo,Core,,
,Abdominal reverso,Core,,
,Elevação de joelhos suspenso,Core,,
,Elevação de pernas suspenso,Core,,
,Elevação de joelhos na cadeira romana,Core,,
,Roda abdominal com joelhos apoiados,Core,,
,Crunch na bola suíça,Core,,
,Pallof press em pé,Core,,
,Pallof press meio-ajoelhado,Core,,
,Wood chop alto para baixo no cabo,Core,,
,Wood chop baixo para alto no cabo,Core,,
,Suitcase carry unilateral,Core,,
,Farmer carry,Core,,
,Bear crawl,Core,,
,Mountain climber,Core,,
,Caminhada na esteira,Cardio,,
,Corrida na esteira,Cardio,,
,Bicicleta ergométrica,Cardio,,
,Remo ergométrico,Cardio,,
,Elíptico,Cardio,,
,Escada ergométrica,Cardio,,
,Pular corda,Corpo inteiro,,
,Polichinelo,Corpo inteiro,,
,Burpee,Corpo inteiro,,
,Empurrar trenó,Corpo inteiro,,
,Puxar trenó caminhando de costas,Corpo inteiro,,
,Ondas alternadas com corda naval,Corpo inteiro,,
,Slam com medicine ball,Corpo inteiro,,
